ort,plz,landkreis
Alfstedt,27432,Landkreis Rotenburg (Wümme)
Alfter,53347,Rhein-Sieg-Kreis
Algermissen,31191,Landkreis Hildesheim
Alheim,36211,Landkreis Hersfeld-Rotenburg
Alken,56332,Landkreis Mayen-Koblenz
Alkersleben,99310,Ilm-Kreis
Alkersum,25938,Kreis Nordfriesland
Allenbach,55758,Landkreis Birkenfeld
Allendorf,35108,Landkreis Waldeck-Frankenberg
Allendorf,56370,Rhein-Lahn-Kreis
Allendorf,07426,Landkreis Saalfeld-Rudolstadt
Allendorf (Lumda),35469,Landkreis Gießen
Allenfeld,55595,Landkreis Bad Kreuznach
Allensbach,78476,Landkreis Konstanz
Allersberg,90584,Landkreis Roth
Allershausen,85391,Landkreis Freising
Alleshausen,88422,Landkreis Biberach
Alling,82239,Landkreis Fürstenfeldbruck
Allmannshofen,86695,Landkreis Augsburg
Allmannsweiler,88348,Landkreis Biberach
Allmendingen,89604,Alb-Donau-Kreis
Allmersbach im Tal,71573,Rems-Murr-Kreis
Allstedt,06542,Landkreis Mansfeld-Südharz
Almdorf,25821,Kreis Nordfriesland
Almersbach,57610,Landkreis Altenkirchen
Alpen,46519,Kreis Wesel
Alpenrod,57642,Westerwaldkreis
Alpenrod,57647,Westerwaldkreis
Alperstedt,99195,Landkreis Sömmerda
Alpirsbach,72275,Landkreis Freudenstadt
Alsbach,56237,Westerwaldkreis
Alsbach-Hähnlein,64665,Landkreis Darmstadt-Dieburg
Alsdorf,52477,Städteregion Aachen
Alsdorf,57518,Landkreis Altenkirchen
Alsdorf,54668,Eifelkreis Bitburg-Prüm
Alsenz,67821,Donnersbergkreis
Alsfeld,36304,Vogelsbergkreis
Alsheim,67577,Landkreis Alzey-Worms
Alsleben,06425,Salzlandkreis
Altbach,73776,Landkreis Esslingen
Alt Bennebek,24848,Kreis Schleswig-Flensburg
Alt Bukow,18233,Landkreis Rostock
Altdöbern,03229,Landkreis Oberspreewald-Lausitz
Altdorf,84032,Landkreis Landshut
Altdorf,71155,Landkreis Böblingen
Altdorf,72655,Landkreis Esslingen
Altdorf,67482,Landkreis Südliche Weinstraße
Altdorf bei Nürnberg,90518,Landkreis Nürnberger Land
Alt Duvenstedt,24782,Kreis Rendsburg-Eckernförde
Alt Duvenstedt,24791,Kreis Rendsburg-Eckernförde
Alt Duvenstedt,24811,Kreis Rendsburg-Eckernförde
Altefähr,18573,Landkreis Vorpommern-Rügen
Alteglofsheim,93087,Landkreis Regensburg
Altena,58762,Märkischer Kreis
Altenahr,53505,Landkreis Ahrweiler
Altenbamberg,55585,Landkreis Bad Kreuznach
Altenbeken,33184,Kreis Paderborn
Altenberg,01773,Landkreis Sächsische Schweiz-Osterzgebirge
Altenberg,01778,Landkreis Sächsische Schweiz-Osterzgebirge
Altenberga,07768,Saale-Holzland-Kreis
Altenberge,48341,Kreis Steinfurt
Altenbeuthen,07338,Landkreis Saalfeld-Rudolstadt
Altenbuch,97901,Landkreis Miltenberg
Altenburg,04600,Landkreis Altenburger Land
Altendiez,65624,Rhein-Lahn-Kreis
Altendorf,92540,Landkreis Schwandorf
Altendorf,96146,Landkreis Bamberg
Altenfeld,98701,Ilm-Kreis
Altenglan,66885,Landkreis Kusel
Altengottern,99991,Unstrut-Hainich-Kreis
Altenhagen,17091,Landkreis Mecklenburgische Seenplatte
Altenhausen,39343,Landkreis Börde
Altenhof,24340,Kreis Rendsburg-Eckernförde
Altenhof,17209,Landkreis Mecklenburgische Seenplatte
Altenholz,24161,Kreis Rendsburg-Eckernförde
Altenkirchen,66903,Landkreis Kusel
Altenkirchen,18556,Landkreis Vorpommern-Rügen
Altenkirchen (Westerwald),57610,Landkreis Altenkirchen
Altenkrempe,23730,Kreis Ostholstein
Altenkunstadt,96264,Landkreis Lichtenfels
Altenmarkt an der Alz,83352,Landkreis Traunstein
Altenmedingen,29575,Landkreis Uelzen
Altenmoor,25335,Kreis Steinburg
Altenmünster,86450,Landkreis Augsburg
Altenpleen,18445,Landkreis Vorpommern-Rügen
Altenriet,72657,Landkreis Esslingen
Altenstadt,63674,Wetteraukreis
Altenstadt,86972,Landkreis Weilheim-Schongau
Altenstadt,89281,Landkreis Neu-Ulm
Altenstadt a.d.Waldnaab,92665,Landkreis Neustadt an der Waldnaab
Altensteig,72213,Landkreis Calw
Altenthann,93177,Landkreis Regensburg
Altentreptow,17087,Landkreis Mecklenburgische Seenplatte
Alterkülz,56288,Rhein-Hunsrück-Kreis
Altersbach,98587,Landkreis Schmalkalden-Meiningen
Altertheim,97237,Landkreis Würzburg
Altfraunhofen,84169,Landkreis Landshut
Althegnenberg,82278,Landkreis Fürstenfeldbruck
Altheim,88499,Landkreis Biberach
Altheim,89605,Alb-Donau-Kreis
Altheim (Alb),89174,Alb-Donau-Kreis
Althengstett,75382,Landkreis Calw
Althornbach,66484,Landkreis Südwestpfalz
Althütte,71566,Rems-Murr-Kreis
Althüttendorf,16247,Landkreis Barnim
Altkalen,17179,Landkreis Rostock
Altkirchen,04626,Landkreis Altenburger Land
Alt Krenzlin,19288,Landkreis Ludwigslust-Parchim
Altlandsberg,15345,Landkreis Märkisch-Oderland
Altlay,56858,Landkreis Cochem-Zell
Altleiningen,67316,Landkreis Bad Dürkheim
